Unnamed: 0,Image,Review Text,Processed_Review,Feature_Extraction
3452,['Downloaded_Images/81q5+IxFVUL._SY88.jpg'],Loving these vintage springs on my vintage strat. They have a good tension and great stability. If you are floating your bridge and want the most out of your springs than these are the way to go.,love vintag spring vintag strat good tension great stabil float bridg want spring way go,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
1205,"['Downloaded_Images/71HSx4Y-5dL._SY88.jpg', 'Downloaded_Images/71dVsYejzTL._SY88.jpg', 'Downloaded_Images/71domStNfIL._SY88.jpg']","Works great as a guitar bench mat. Not rugged enough for abuse but if you take care of it, it will take care of you. Makes organization of workspace much easier because screws won't roll around. Color is good too.",work great guitar bench mat rug enough abus take care take care make organ workspac much easier screw wo roll around color good,"[array([0.        , 0.        , 0.        , ..., 0.        , 1.5399733 ,
       0.09446181], dtype=float32), array([0.       , 0.       , 0.       , ..., 2.8334033, 0.       ,
       0.       ], dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
1708,['Downloaded_Images/71Md5ihUFLL._SY88.jpg'],"We use these for everything from our acoustic bass down to our ukuleles. I know there is a smaller model available for ukes, violins, etc.; we haven't yet ordered those, but these will work on smaller instruments if one doesn't extend the feet to their maximum width. They're gentle on the instruments, and the grippy material keeps them secure.

The greatest benefit has been when writing music at the computer and needing to set a guitar down to use the keyboard/mouse - just easier for me than a hanging stand.

We have several and gave one to a friend for Christmas as well. I've used mine on stage, and it folds up small enough to fit right in my gig bag.",use everyth acoust bass ukulel know smaller model avail uke violin etc yet order work smaller instrument one extend foot maximum width gentl instrument grippi materi keep secur greatest benefit write music comput need set guitar use easier hang stand sever gave one friend christma well use mine stage fold small enough fit right gig bag,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
2078,['Downloaded_Images/71Isri9SEaL._SY88.jpg'],Great price and good quality.  It didn't quite match the radius of my sound hole but it was close enough.,great price good qualiti quit match radiu sound hole close enough,"[array([2.7596853, 0.       , 0.       , ..., 0.       , 1.7409408,
       0.       ], dtype=float32)]"
801,['Downloaded_Images/71w8aOdrTuL._SY88.jpg'],"I bought this bass to split time as my primary bass with my Dean Edge. This might be winning me over. The bass boost is outstanding. The active pickups really allow you to adjust to the sound you want. I recommend this for anyone. If you're a beginner  like I was not too long ago, it's an excellent bass to start with. If you're on tour and/or music is making you money, this bass will be beatiful on stage. The color is a bit darker than in the picture. But, all around, this is a great buy.",bought bass split time primari bass dean edg might win bass boost outstand activ pickup realli allow adjust sound want recommend anyon beginn like long ago excel bass start tour music make money bass beati stage color bit darker pictur around great buy,"[array([12.218539,  0.      , 30.032984, ...,  0.      ,  0.      ,
        0.      ], dtype=float32)]"
126,"['Downloaded_Images/81dxkALs4CL._SY88.jpg', 'Downloaded_Images/81VixyruzDL._SY88.jpg', 'Downloaded_Images/51IWGFH3IPL._SY88.jpg', 'Downloaded_Images/81p1k-2194L._SY88.jpg']","it's more on toy side than on instrument side, and made in Indonesia.

pro
in tune
fun to play with
small and easy to carry around
solid built
cheap

con
can't handle fortissimo, no loud notes",toy side instrument side made indonesia pro tune fun play small easi carri around solid built cheap con ca handl fortissimo loud note,"[array([0.      , 0.      , 0.      , ..., 0.      , 0.432723, 0.      ],
      dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([0.       , 0.       , 7.350425 , ..., 0.       , 3.2472413,
       0.       ], dtype=float32), array([ 0.     ,  0.     ,  0.     , ...,  0.     , 17.69313,  0.     ],
      dtype=float32)]"
1329,['Downloaded_Images/71cS64LddWL._SY88.jpg'],Absolute BEST guitar hangers on the market... You will not beat this price! Buy them while you still can for this cheap,absolut best guitar hanger market beat price buy still cheap,"[array([0.      , 0.      , 0.      , ..., 0.      , 3.543215, 0.      ],
      dtype=float32)]"
325,"['Downloaded_Images/71z9biVe+ML._SY88.jpg', 'Downloaded_Images/81KgqwvRlsL._SY88.jpg', 'Downloaded_Images/810yv26nkYL._SY88.jpg', 'Downloaded_Images/81hhee6cBhL._SY88.jpg']","Great nylon strings, just as expected. They worked just fine on my daughter's mini classical guitar. They are as good quality wise as much more expensive strings I've purchased in the past. They are much softer to the touch and easier for her to learn on than my steel strings on my acoustic guitar. They came labeled with both the note name and the string number, which made putting them on easy and quick.",great nylon string expect work fine daughter mini classic guitar good qualiti wise much expens string purchas past much softer touch easier learn steel string acoust guitar came label note name string number made put easi quick,"[array([7.78339, 0.     , 0.     , ..., 0.     , 0.     , 0.     ],
      dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([32.424103, 17.795933,  0.      , ...,  0.      , 22.492764,
        0.      ], dtype=float32), array([16.206997 ,  0.       ,  0.       , ...,  0.       ,  3.3423257,
        0.       ], dtype=float32)]"
245,"['Downloaded_Images/51p2V+jw7AL._SY88.jpg', 'Downloaded_Images/51zFfb4C-XL._SY88.jpg', 'Downloaded_Images/51Ig0ScFF5L._SY88.jpg', 'Downloaded_Images/31gGURU8Y6L._SY88.jpg']",I bought this stand for church because I been blessed with a soprano and a alto sax and its realy good and reliable and fit in the front poutch of my sax case with no problems (my alto case has a exstra poutch in the front) but one little thing is that the peg can fit a soprano but its just a little lose but it still is safe for soprano sax.,bought stand church bless soprano alto sax reali good reliabl fit front poutch sax case problem alto case exstra poutch front one littl thing peg fit soprano littl lose still safe soprano sax,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 11.275849,
        0.      ], dtype=float32), array([0.     , 0.     , 0.     , ..., 0.     , 3.64477, 0.     ],
      dtype=float32), array([0.      , 0.      , 0.      , ..., 0.      , 5.355566, 0.      ],
      dtype=float32)]"
1714,"['Downloaded_Images/71raKRNMOPL._SY88.jpg', 'Downloaded_Images/712kRL7iLkL._SY88.jpg', 'Downloaded_Images/71+3oZp8H6L._SY88.jpg']","Awesome stand!

Tip: The bottom part that supports the guitar had a weird angle when arrived, making the guitar slide back, becoming almost 100% on a vertical.
To solve this, I assembled the product and the put a some pressure on the support frame, making it bend a little. Now my guitar sits perfectly. Check photos!",awesom stand tip bottom part support guitar weird angl arriv make guitar slide back becom almost 100 vertic solv assembl product put pressur support frame make bend littl guitar sit perfectli check photo,"[array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), array([ 0.      ,  0.      ,  0.      , ...,  0.      , 12.182919,
        5.365735], dtype=float32), array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)]"
